"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"CD-FN-1300-45","CODO DE 3"" x 45",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1300-45C","CODO DE 3"" x 45 CROMADO",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1300-90","CODO DE 3"" x 90",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1300-90C","CODO DE 3"" x 90 CROMADO",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1350-45","CODO DE 3 1/2"" x 45",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1350-45C","CODO DE 3 1/2"" x 45 CROMADO",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1350-90","CODO DE 3 1/2"" x 90",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1350-90C","CODO DE 3 1/2"" x 90 CROMADO",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-40","CODO DE 4"" x 40",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-45","CODO DE 4"" x 45",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-45C","CODO DE 4"" x 45 CROMADO",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-60","CODO DE 4"" x 60",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-75","CODO DE 4"" x 75",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-90","CODO DE 4"" x 90",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-90-1","CODO DE 4"" x 90 R/E",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-90-1-C","CODO DE 4"" x 90 R/E CROM",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-90C","CODO DE 4 X 90 CROMADO",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1400-120","CODO DE 4"" x 120",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1500","DOBLE CODO MACK 4""","(DOBLE CODO CORTO)","Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1500-1","DOBLE CODO MACK 4""","(DOBLE CODO LARGO)","Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1500-2","DOBLE CODO MACK 400 DE 4""","(DOBLE CODO LARGO)","Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1500-45","CODO DE 5"" X 45",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1500-45C","CODO DE 5"" X 45 CROMADO",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1500-90","CODO DE 5"" X 90",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1500-90C","CODO DE 5"" X 90 CROMADO",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1501","TRIPLE CODO MACK 4""",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1502","TRIPLE CODO P/SIL MACK EN ""L""",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1503","DOBLE CODO AUTOBUS SCANIA",,"Codos/Codos Fabricación Propia","VEB","Y"
"CD-FN-1504","DOBLE CODO PEGASO 4""",,"Codos/Codos Fabricación Propia","VEB","Y"
